id val
010304468 2230
190101086 0330
200110444 1200
191501505 1730
191921269 0415
200100501 0030
200100502 1315
200100504 0040
200100507 0200
200100509 2200
200100510 0955
200100514 1355
200100515 1638
200100520 1805
200506268 1900
200100535 1330
200100538 1730
200100543 1445
200100546 0700
200100552 2000
200100556 0400
200100559 0600
200117988 2000
200100568 1500
200100572 2100
200100574 1930
200100576 0055
200100578 2040
200100583 0920
200100584 1645
200100587 1135
200218458 0420
200100596 1600
200407318 0315
200407198 0430
200104020 0245
200104024 0325
200104027 0030
200104033 0230
200104035 0230
200104036 0500
200104038 1200
200104039 0344
200104041 1030
200104043 1200
200321450 0300
200104047 0905
200104048 0905
200104051 0200
200104054 2330
200104057 2045
200104058 1940
200104060 1800
200104063 2030
200104065 1830
200104066 2315
200104069 0545
200104073 0345
200104075 2000
200104076 0300
200104077 2030
200104078 0820
200104082 1225
200104090 1305
200104092 1200
200104098 1240
200104101 0800
200104118 1600
200104120 1450
200104126 1215
200104127 1130
200104129 0320
200104132 1915
200104135 2000
200104136 2000
200104138 1740
200104139 2210
200104140 2145
200104141 2120
200104150 2200
200104187 1845
200104192 0930
200104201 0130
200104204 1115
200104205 1315
200104208 1015
200104209 1830
200104221 1200
200104222 1550
200104223 1839
200104224 1800
200104227 1800
200104228 1850
200104230 2100
200104231 2220
200104233 1645
200104234 2100
200104235 2200
200104236 1630
200104237 0500
